zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bristol,other,foot,E02003013,E02001097,8,2231,1847
bristol,bristol,foot,E02003023,E02003043,16,13237,10969
bristol,bristol,foot,E02003013,E02003031,3,5028,4159
bristol,bristol,foot,E02003014,E02003017,4,4284,3626
bristol,bristol,foot,E02003017,E02003025,1,3140,2649
bristol,bristol,foot,E02003017,E02003028,10,2013,1758
bristol,bristol,foot,E02003019,E02003018,3,8468,7142
bristol,bristol,foot,E02003018,E02003043,7,9054,7469
bristol,bristol,foot,E02003022,E02003025,1,2249,1796
bristol,bristol,foot,E02003024,E02003043,13,14607,12102
bristol,bristol,foot,E02003019,E02003036,3,7712,6499
bristol,bristol,foot,E02003021,E02003043,85,10449,8548
bristol,bristol,foot,E02003016,E02003022,11,1988,1636
bristol,bristol,foot,E02003013,E02003017,42,2688,2178
bristol,other,foot,E02003021,E02003107,21,4525,3664
bristol,other,foot,E02003019,E02003106,1,11390,9512
bristol,bristol,foot,E02003013,E02003016,1,2874,2399
bristol,bristol,foot,E02003016,E02003031,5,4432,3619
bristol,bristol,foot,E02003016,E02003034,6,3990,3163
bristol,bristol,foot,E02003015,E02003020,3,5409,4349
bristol,bristol,foot,E02003018,E02003028,4,3706,3222
bristol,bristol,foot,E02003020,E02003025,2,3682,3151
bristol,other,foot,E02003017,E02003094,1,3999,3397
bristol,bristol,foot,E02003021,E02003026,2,7747,6613
bristol,other,foot,E02003013,E02003094,7,2849,2394
bristol,bristol,foot,E02003020,E02003034,1,4912,4088
bristol,bristol,foot,E02003014,E02003036,3,7088,6179
bristol,bristol,foot,E02003012,E02003012,181,2231,1914
bristol,bristol,foot,E02003019,E02003047,2,9634,8081
bristol,bristol,foot,E02003023,E02003036,4,4985,4327
bristol,bristol,foot,E02003015,E02003043,33,9381,7619
bristol,bristol,foot,E02003014,E02003014,139,2087,1863
bristol,bristol,foot,E02003017,E02003034,4,4498,3671
bristol,bristol,foot,E02003016,E02003013,8,1470,1205
bristol,bristol,foot,E02003012,E02003018,2,4192,3561
bristol,bristol,foot,E02003013,E02003022,3,4206,3553
bristol,bristol,foot,E02003013,E02003019,3,2338,1979
